Date,cluster,signal,next_return,strategy_ret
2025-05-20,2,0,-0.023059121838798324,0.0
2025-05-21,2,0,-0.0036122485818445016,0.0
2025-05-22,2,0,-0.03024427887573744,0.0
2025-05-23,2,0,0.025298317070217013,0.0
2025-05-27,2,0,0.0010488254734115632,0.0
2025-05-28,2,0,-0.00234507522388816,0.0
2025-05-29,2,0,0.004501160816033689,0.0
2025-05-30,2,0,0.00423197959474253,0.0
2025-06-02,2,0,0.007783846649397574,0.0
2025-06-03,2,0,-0.002213746602105271,0.0
2025-06-04,2,0,-0.010797740805414291,0.0
2025-06-05,2,0,0.01639826694665114,0.0
2025-06-06,2,0,-0.012112562253018933,0.0
2025-06-09,2,0,0.00605607184084711,0.0
2025-06-10,2,0,-0.019193760456297837,0.0
2025-06-11,2,0,0.002112895022762018,0.0
2025-06-12,2,0,-0.013805244367089187,0.0
2025-06-13,2,0,0.010028031208825672,0.0
2025-06-16,2,0,-0.014010719296581597,0.0
2025-06-17,2,0,0.004804743182752258,0.0
2025-06-18,2,0,0.02248450514132916,0.0
2025-06-20,2,0,0.00248757334336136,0.0
2025-06-23,2,0,-0.005955331300461331,0.0
2025-06-24,2,0,0.0062905831155934955,0.0
2025-06-25,2,0,-0.0027783626191049127,0.0
2025-06-26,2,0,0.00039801477495893245,0.0
2025-06-27,2,0,0.020340134193924886,0.0
2025-06-30,2,0,0.012916154224275056,0.0
2025-07-01,2,0,0.022230770203315764,0.0
2025-07-02,2,0,0.005225041050401336,0.0
2025-07-03,2,0,-0.016857939297312052,0.0
2025-07-07,2,0,0.0002858039892503772,0.0
2025-07-08,2,0,0.005380715910463962,0.0
2025-07-09,2,0,0.006014939675876629,0.0
2025-07-10,2,0,-0.005884835805047839,0.0
2025-07-11,2,0,-0.012028812490351148,0.0
2025-07-14,2,0,0.0023488240612374867,0.0
2025-07-15,2,0,0.0050212956703405975,0.0
2025-07-16,2,0,-0.0006661853268702389,0.0
2025-07-17,2,0,0.005523241182089356,0.0
2025-07-18,2,0,0.0061558702516160135,0.0
2025-07-21,2,0,0.009036182474420285,0.0
2025-07-22,2,0,-0.0011660856188711044,0.0
2025-07-23,2,0,-0.0018211487803653226,0.0
2025-07-24,2,0,0.0005614197975087887,0.0
2025-07-25,2,0,0.0007948746335069146,0.0
2025-07-28,2,0,-0.012987651582609505,0.0
2025-07-29,2,0,-0.010507881543836084,0.0
2025-07-30,2,0,-0.007079622090835236,0.0
2025-07-31,2,0,-0.0250035932739211,0.0
2025-08-01,2,0,0.004792974350137147,0.0
2025-08-04,2,0,-0.0021146907604691068,0.0
2025-08-05,2,0,0.05090680618623611,0.0
2025-08-06,2,0,0.03179364268982976,0.0
2025-08-07,2,0,0.04235792328538146,0.0
2025-08-08,2,0,-0.008337416841468825,0.0
2025-08-11,2,0,0.010872441677679756,0.0
2025-08-12,0,1,0.01602441991019199,0.0
2025-08-13,0,1,-0.0023571895917441354,0.015524419910192044
2025-08-14,0,1,-0.005112133549474374,-0.002357189591744142
2025-08-15,0,1,-0.0030225698834628334,-0.005112133549474327
2025-08-18,0,1,-0.001429259958971918,-0.0030225698834627267
2025-08-19,0,1,-0.019734572779050663,-0.0014292599589718603
2025-08-20,0,1,-0.004911289931109564,-0.019734572779050708
2025-08-21,0,1,0.012716766064777785,-0.0049112899311095585
2025-08-22,0,1,-0.0026343118159346535,0.012716766064777736
2025-08-25,0,1,0.009464667467088184,-0.0026343118159346734
2025-08-26,0,1,0.00514590705653295,0.009464667467088224
2025-08-27,0,1,0.008980832210059075,0.00514590705653294
2025-08-28,0,1,-0.00180597769760249,0.008980832210059055
2025-08-29,0,1,-0.010424735828844955,-0.0018059776976024075
2025-09-02,0,1,0.038089848308826335,-0.010424735828845002
2025-09-03,0,1,0.005493343195739575,0.03808984830882625
2025-09-04,0,1,-0.00037532879451496193,0.00549334319573965
2025-09-05,0,1,-0.007551410322323426,-0.00037532879451494713
2025-09-08,0,1,-0.014839409394815983,-0.00755141032232349
2025-09-09,0,1,-0.03225949486019408,-0.014839409394815966
2025-09-10,0,1,0.014286368839370622,-0.03225949486019406
2025-09-11,0,1,0.017562963814985233,0.014286368839370699
2025-09-12,0,1,0.011235910376080627,0.017562963814985292
2025-09-15,0,1,0.0061258849469238985,0.01123591037608067
2025-09-16,0,1,0.0035272375318422533,0.0061258849469238335
2025-09-17,0,1,-0.0046445482440198305,0.003527237531842275
2025-09-18,0,1,0.03203293660995743,-0.004644548244019875
2025-09-19,0,1,0.04309566831880085,0.032032936609957534
2025-09-22,0,1,-0.006443275472520216,0.04309566831880081
2025-09-23,1,0,-0.008332331793480807,-0.006443275472520294
2025-09-24,1,0,0.018072995928489766,-0.0004999999999999292
2025-09-25,1,0,-0.005489112898051984,0.0
2025-09-26,1,0,-0.004031997224675621,0.0
2025-09-29,1,0,0.0007861188255666729,0.0
2025-09-30,1,0,0.003220327729275496,0.0
2025-10-01,1,0,0.00657666061710982,0.0
2025-10-02,1,0,0.0034612223931820285,0.0
2025-10-03,1,0,-0.005154587353288997,0.0
2025-10-06,1,0,-0.0008180741481198517,0.0
2025-10-07,1,0,0.006160271773966164,0.0
2025-10-08,1,0,-0.015577789314472068,0.0
2025-10-09,1,0,-0.034522080166306646,0.0
2025-10-10,1,0,0.009744360696440912,0.0
2025-10-13,1,0,0.0004441597703503941,0.0
2025-10-14,1,0,0.0063364896410271765,0.0
2025-10-15,1,0,-0.007580008893106838,0.0
2025-10-16,1,0,0.019559492412937862,0.0
2025-10-17,1,0,0.03943873008454002,0.0
